titles,details,hrefs,date,reference,term,year,page,country,party,file,n_results,reference_clean,content,href_answer,reference_page,rule,directed_at
Council Regulation 3254/91 - Use of leghold traps,Question for written answer E-001948/2016to the CommissionRule 130Jeppe Kofod (S&D),https://www.europarl.europa.eu/doceo/document/E-8-2016-001948_EN.html,03-03-2016,E-001948/2016,2014-2019,2016,5,denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2014-2019_2016_denmark_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_5.html,63,E-001948_2016,"
Under Council Regulation 3254/91, the use of leghold traps has been illegal since 1991. In a number of Member States such a ban has been in place even longer. Despite the ban on the use of leghold traps at both the national and the European levels, the sale of imported products based on the capture of live animals with leghold traps still takes place.
1. Does the Commission consider there may be a legal basis within current European legislation to stop the import of products which, under European law, are produced with an illegal and/or inadequate attitude to the safeguarding of animal welfare, such as fur products made from animals captured with the use of leghold traps?
2. If this is not the case, does the Commission propose to put forward new legislation in this area which would make such a ban possible?
3. Does the Commissioner think it is compatible with the spirit of the existing animal welfare strategy to continue allowing the importation of products based on production methods which are indefensible as regards animal welfare?",/doceo/document/E-8-2016-001948-ASW_EN.html,E-001948-16,130,commission
Albacore tuna fishing in the North Atlantic,WRITTEN QUESTION  by Josu Ortuondo Larrea (Verts/ALE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+P-2000-2244+0+DOC+XML+V0//EN&language=EN,29-06-2000,P-2244/2000,1999-2004,2000,6,spain,Group of the Greens/European Free Alliance,1999-2004_2000_spain_group-of-the-greens-european-free-alliance_6.html,137,P-2244_2000,"
The Commission has presented its proposal for a regulation establishing technical measures to correct the situation of certain populations of highly migratory species.
Amongst other things the regulation incorporates the 1998 and 1999 ICCAT (International Commission for the Conservation of Atlantic Tunas) recommendations on restricting fishing capacity or effort in respect of albacore tuna by limiting the number of vessels which will in future be allowed to fish to the average recorded during the 1993-1995 period.
Given that the current fishing season's activity in this fishery has already commenced, it can be assumed that the Commission has received the relevant data from each of the Member States involved and has checked and validated it with a view to establishing the average number of vessels authorised in the 1993-1995 period, on the basis of which it was to fix the maximum number of vessels authorised to fish in 2000.
Can the Commission supply the total annual figures for each EU Member State with regard to the number of vessels authorised to fish and actually doing so continually and to the full extent in the albacore fishing seasons in the North Atlantic in each year of the reference period, i.e. in 1993, 1994 and 1995?
What is the average established for each Member State with regard to vessels authorised to fish for albacore and actually doing so continually during the period 1993 to 1995?
Can the Commission provide a breakdown by Member State of the total number of vessels authorised to fish for albacore in 2000?",/sides/getAllAnswers.do?reference=P-2000-2244&language=EN,P-2244/00,NA,commission
Organisational deficiencies in the Structural Funds,Question for written answer E-010696/2010to the CommissionRule 117Andreas Mölzer (NI),https://www.europarl.europa.eu/doceo/document/E-7-2010-010696_EN.html,07-12-2010,E-010696/2010,2009-2014,2010,4,austria,Non-attached Members,2009-2014_2010_austria_non-attached-members_4.html,562,E-010696_2010,"
An investigation into the effectieveness and efficiency of the EU structural funds by a Financial Times team in collaboration with the Bureau of Investigative Journalism of City University London came to the conclusion that the structural funds system is too bureaucratic and that the money is taken up mainly by large corporations and well-off beneficiaries.
An article of 30 November 2010 in the daily Die Presse under the headline ‘EU study: A lot in the wrong hands, not much in the right’ reports that ‘instead of supporting small and medium-sized undertakings, money goes to corporations such as IBM, Fiat, Nokkia, Siemens, H&M or Coca Cola. Other companies received funds when they were moving their factories to countries with cheaper workforces. EUR 1.6 million was paid out to British American Tobacco for a cigarette factory, although at the same time millions are being spent on anti-smoking campaigns. The structural funds programme has become an opaque bureaucracy, the critics say. Organised crime repeatedly gets its hands on EU aid without difficulty. And the underdeveloped regions that the programme is supposed to help get little because in times of economic crisis their national governments cannot afford to provide the co‑financing required.’
1. What is the Commission’s reaction to the reproach that the structural funds are overbureaucratic and opaque?
2. What measures are planned to make it harder for organised crime to get hold of EU funding?
3. Are there plans to make it easier for small and medium-sized firms to gain access to funding?
4. If so, what measures will be put in place?
5. If not, why not?
6. EU rules on aid for relocation of production have been tightened up. Have studies been carried out to see whether these tighter rules have borne fruit, and have penalties been imposed in this context?",/doceo/document/E-7-2010-010525-ASW_EN.html,E-010696/2010,117,commission
Money for funding networks,WRITTEN QUESTION  by Mikel Irujo Amezaga (Verts/ALE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2008-2265+0+DOC+XML+V0//EN&language=EN,09-04-2008,E-2265/2008,2004-2009,2008,11,spain,Group of the Greens/European Free Alliance,2004-2009_2008_spain_group-of-the-greens-european-free-alliance_11.html,158,E-2265_2008,"

There is still a major disparity between different EU Member States (and between regions within the same) with regard to the availability and quality of the networks linking cultural institutions, schools, universities and different scientific and cultural centres. For remoter, non-interconnected and thinly-populated regions, this involves tremendous costs.

For example, Portugal, which, located in a remote corner of the EU, has difficulties in building a proper network of this kind, has requested to use the Structural Funds to this end. We could also cite thinly-populated Slovenia, where the per capita cost to the taxpayer is greater than in most Member States.

The DG REGIO, by means of its Structural Funds, makes possible the part-funding of these e-infrastructures, but the truth of the matter is that in the countryside there are very few educational institutions.

Does the Commission not think that it would be useful to set up some funds directly designed to fund projects of this kind in order to promote these networks, and thus make progress to achieving genuine ‘freedom of knowledge’ within the EU?",/sides/getAllAnswers.do?reference=E-2008-2265&language=EN,E-2265/08,NA,commission
Monte Paschi scandal: failure to calculate the cost of derivatives deals,Question for written answer E-000950/2013to the CommissionRule 117Roberta Angelilli (PPE),https://www.europarl.europa.eu/doceo/document/E-7-2013-000950_EN.html,30-01-2013,E-000950/2013,2009-2014,2013,53,italy,Group of the European People's Party (Christian Democrats),2009-2014_2013_italy_group-of-the-european-people-s-party--christian-democrats-_53.html,554,E-000950_2013,"
Monte dei Paschi di Siena, the world’s oldest bank, which is quoted on the Stock Exchange and active, as well as in Italy, on European and international markets, is at the centre of a scandal involving dubious trading on the derivatives market, which, in addition to causing mass selling of the bank’s shares, is giving rise to immense anxiety among current-account holders and its employees, of whom there are about 30 000.
On 17 December 2012 the Commission, acting under EU State aid rules, temporarily approved a EUR 3.9 billion recapitalisation of Monte Paschi in order to preserve the stability of the Italian financial system and enable the bank to comply with the recommendations of the European Banking Authority. The approval is subject to a requirement to submit a restructuring plan by May 2013.
In his State of the Union Address on 12 September 2012 the Commission President, José Manuel Barroso, had this to say about banks: ‘when things went wrong, it was the taxpayers who had to pick up the bill’.
Today the Monte Paschi scandal is proving the truth of that assertion.
In the light of the foregoing:
1.
Can the Commission explain why the recapitalisation was temporarily approved when there had been no proper analysis of the bank’s financial stability or its use of derivative financing?
2.
Does it believe that checks should be built into the agreement on Europe-wide banking supervision in order to avert further cases of this kind, especially where the derivatives market is concerned?
3.
What information was given to Monte Paschi current-account holders to help protect their savings?
",/doceo/document/E-7-2013-000950-ASW_EN.html,E-000950-13,117,commission
Iași emergency hospital,Question for written answer E-004845/2020/rev.1to the CommissionRule 138Tudor Ciuhodaru (S&D),https://www.europarl.europa.eu/doceo/document/E-9-2020-004845_EN.html,06-09-2020,E-004845/2020,2019-2024,2020,9,romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2019-2024_2020_romania_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_9.html,226,E-004845_2020,"The new Union Civil Protection Mechanism, involving the establishment of additional European medical, technical and logistical emergency treatment facilities for patients with critical injuries (burns, multiple trauma) in the Member States, is a necessary measure that was approved by Parliament on 16 September 2020 (report A9-0148/2020).  Can the Commission say whether the Iași emergency hospital will benefit from these arrangements?",/doceo/document/E-9-2020-004845-ASW_EN.html,E-004845/2020/rev.1,138,commission
Burma,"WRITTEN QUESTION  by Pietro-Paolo Mennea (NI), Marco Cappato (NI), Benedetto Della Vedova (NI), Lucio Manisco (GUE/NGL), Mario Borghezio (NI), Roberto Bigliardo (UEN), Luisa Morgantini (GUE/NGL), Carlo Fatuzzo (PPE-DE), Giovanni Fava (PSE), Marco Pannella (NI), Generoso Andria (PPE-DE), Vitaliano Gemelli (PPE-DE), Gianfranco Dell'Alba (NI), Sebastiano Musumeci (UEN), Pasqualina Napoletano (PSE), Amalia Sartori (PPE-DE), Giovanni Pittella (PSE), Mariotto Segni (UEN), Luigi Cocilovo (PPE-DE), Walter Veltroni (PSE), Giorgio Ruffolo (PSE), Raffaele Costa (PPE-DE), Luigi Cesaro (PPE-DE), Paolo Pastorelli (PPE-DE), Adriana Poli Bortone (UEN), Fiorella Ghilardotti (PSE), Giovanni Procacci (ELDR), Claudio Martelli (ELDR), Mauro Nobilia (UEN), Antonio Mussa (UEN), Renato Brunetta (PPE-DE) and Olivier Dupuis (NI) to the Commission",http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2004-0099+0+DOC+XML+V0//EN&language=EN,13-01-2004,E-0099/2004,1999-2004,2004,2,italy,Group of the Party of European Socialists,1999-2004_2004_italy_group-of-the-party-of-european-socialists_2.html,21,E-0099_2004,"

According to press reports, the ruling military junta in Burma (now called Myanmar), which is headed by General Khin Nyunt, has sentenced to death Zaw Thet Htway, aged 37, the editor of the sports magazine First Eleven.

Zaw Thet Htway is alleged to have conspired, along with colleagues, to assassinate the leaders who are oppressing that country through their dictatorial regime. No official warrant was issued for the journalists' arrest and their trial was conducted without the assistance of any lawyers not subject to pressure or external influence and without international observers, who could have guaranteed if not a fair trial then at least one that reflected the fundamental principles of justice. Zaw Thet Htway and the eight other defendants were sentenced to death and confined to a special prison.

All these people have done is to voice a critical opinion of the regime led by General Khin Nyunt by denouncing the misdeeds, abuses and harassment which the people of Burma have been suffering for too long now. The members of this dictatorship have, in fact, over the years, spirited away international donations to the value of several million dollars which were actually intended for the world of sport, to construct and renovate facilities, purchase sports equipment and clothing, and promote football throughout the country.

The military government, on the other hand, has gone so far as to appropriate funds earmarked for sport, without the merest fraction of the money received being allocated to the ends for which it was intended, in order to maintain the current system, which is corrupt, repressive and flies in the face of the most fundamental democratic principles.

In practice, a criticism and negative opinion of this corrupt system has been transformed into an 'illegal' conspiracy against the state, and therefore one punishable by death.

Will the Commission use the powers conferred upon it to intervene to ensure the suspension and revocation of this death sentence, thereby saving the lives of the nine accused, and to safeguard the most fundamental principles of civilisation and democracy that should be applied to all citizens of a democratic nation, in line with the dictates of the European Union?",/sides/getAllAnswers.do?reference=E-2004-0099&language=EN,E-0099/04,NA,commission
Ending street homelessness,"WRITTEN QUESTION  by Mary McDonald (GUE/NGL), Raül Romeva i Rueda (Verts/ALE), Gérard Onesta (Verts/ALE), Stephen Hughes (PSE), Sylvia-Yvonne Kaufmann (GUE/NGL), Bairbre de Brún (GUE/NGL), Elspeth Attwooll (ALDE), Eva-Britt Svensson (GUE/NGL), Anne Van Lancker (PSE), Richard Corbett (PSE), Jean Lambert (Verts/ALE), María Valenciano Martínez-Orozco (PSE), Javier Moreno Sánchez (PSE), Proinsias De Rossa (PSE), Erik Meijer (GUE/NGL), Dimitrios Papadimoulis (GUE/NGL), Adamos Adamou (GUE/NGL), Kyriacos Triantaphyllides (GUE/NGL), Lívia Járóka (PPE-DE), Neena Gill (PSE), Maria Matsouka (PSE), Martine Roure (PSE), Jan Andersson (PSE), Ilda Figueiredo (GUE/NGL), Evangelia Tzampazi (PSE), Jacek Protasiewicz (PPE-DE), Edit Bauer (PPE-DE) and Umberto Guidoni (GUE/NGL) to the Council",http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2006-1148+0+DOC+XML+V0//EN&language=EN,13-03-2006,E-1148/2006,2004-2009,2006,1,france,Confederal Group of the European United Left - Nordic Green Left,2004-2009_2006_france_confederal-group-of-the-european-united-left---nordic-green-left_1.html,7,E-1148_2006,"

Headlines on rough sleepers freezing to death can be read all over Europe during these early winter months of 2006, urging policy‑makers to respond with ‘winter emergency plans’ and prompt and outreach help to victims of the cold. Homelessness has been one of the main priority areas under the EU social inclusion strategy 2001‑05 (a strategy now streamlined with health and pensions to form one streamlined strategy on social protection and inclusion), and this was confirmed at the March 2005 EPSCO Council and at the October 2005 UK Presidency Round Table on social inclusion.

Can the Council outline what actions have been taken to follow through on the commitment by European Social Affairs Ministers to treat homelessness as a priority and set a European objective to end street homelessness by 2010?",/sides/getAllAnswers.do?reference=E-2006-1148&language=EN,E-1148/06,NA,council
Solutions to problems raised by the construction of the Zaragosa Logistics Platform ('Plaza') in terms of dealing with the growing volume of freight traffic between Spain and France,"WRITTEN QUESTION  by Erik Meijer (GUE/NGL), Eva Lichtenberger (Verts/ALE) and Michael Cramer (Verts/ALE) to the Commission",http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2006-3237+0+DOC+XML+V0//EN&language=EN,05-07-2006,E-3237/2006,2004-2009,2006,2,austria,Group of the Greens/European Free Alliance,2004-2009_2006_austria_group-of-the-greens-european-free-alliance_2.html,34,E-3237_2006,"

1. Is the Commission aware that the possible further development of the ‘Plaza’ logistics platform near Zaragoza will, if the Zaragoza-Toulouse rail line is not built in time, above all lead to a further increase in HGV traffic on the two major trans‑border road links between Spain and France that are open all year round, at Irún/Hendaye in the west and Jonquera/Le Perthus in the east, and that these links, which are already suffering from traffic jams, will become completely blocked?

2. How great is the risk that, if the rail link desired by the Spanish side does not go ahead, a motorway running through the Pyrenees in the Aspe valley, partly paid for from funding for trans-European networks, would attract the large volume of freight transport expected to be generated between Zaragoza and Toulouse, leading to this transport being carried out in a way which would have an unnecessarily negative impact on the environment? Would a possible alternative be to bring the French railway line running between the border town of Canfranc in the Pyrenees and Pau (Somport), which has been closed for a long time, back into use, and could this save costs?

3. How does the Commission view the Spanish plans within the context of short sea shipping measures and improvements to the existing rail infrastructure on the Mediterranean and Atlantic sides, including from the point of view of cost‑benefit aspects?

4. Does Spanish opposition to higher toll charges for road freight transport (Eurovignette) play a part in the Commission's assessment of the contribution to be made by the EU to possible solutions to the anticipated traffic congestion?

5. Does the Commission agree that, as a result of a lack of coordination between decisions taken by the Spanish and French sides, there is the risk of investments going wrong, unnecessarily large new traffic flows being created and a serious threat being posed to the environment?

6. Does the Commission consider that it has a role to play in providing advice to the Member States, regions and local authorities concerned regarding positive solutions, facilitating cross-border coordination and advising against unsound or unrealistic plans, or is it adopting a wait-and-see attitude to these projects failing and new problems being caused?",/sides/getAllAnswers.do?reference=E-2006-3237&language=EN,E-3237/06,NA,commission
The common fisheries policy and regional development,WRITTEN QUESTION  by Daniel Varela Suanzes-Carpegna (PPE-DE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2005-4268+0+DOC+XML+V0//EN&language=EN,08-11-2005,E-4268/2005,2004-2009,2005,4,spain,Group of the European People's Party (Christian Democrats) and European Democrats,2004-2009_2005_spain_group-of-the-european-people-s-party--christian-democrats--and-european-democrats_4.html,154,E-4268_2005,"

For the purpose of assessing the common fisheries policy's impact on, and contribution to, regional development, the Commission has launched the QLRT‑2000‑02277 research project, which is concerned with devising a calculable general-equilibrium model and applying it to the analysis of the contribution which fishing makes to regional development.

In its reply of 14 June 2005 to my earlier Parliamentary Question E‑1766/05, the Commission informed me that the project had not been concluded as planned in January 2005; it would be concluded in June 2005 instead and I would be sent a copy. Since it is now 7 November and I have yet to receive any news from the Commission, I call once again upon the Commission to notify me of the outcome of the project and to send me a copy of the final report.

Can the Commission now provide me with that information and explain the reasons which account for the fact that the project is now considerably behind schedule?",/sides/getAllAnswers.do?reference=E-2005-4268&language=EN,E-4268/05,NA,commission
Expressions of interest in the Sixth Framework Programme of Research for embryo research and stem cell research,WRITTEN QUESTION  by Elly Plooij-van Gorsel (ELDR) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2003-1494+0+DOC+XML+V0//EN&language=EN,02-05-2003,E-1494/2003,1999-2004,2003,5,netherlands,"Group of the European Liberal, Democrat and Reform Party",1999-2004_2003_netherlands_group-of-the-european-liberal--democrat-and-reform-party_5.html,76,E-1494_2003,"

On 20 March 2002 the Commission published an invitation to submit expressions of interest in the Sixth Framework Programme of Research (FP6). Until 7 June 2002, scientific institutes and businesses could submit plans to the Commission for assessment as to their suitability for support from the Framework Programme. On 4 October 2002 the Commission published the results.

From the published results it emerges that in 1997 expressions of interest were submitted for the thematic priority ""Life sciences, genomics and biotechnology"". This priority includes financial support for stem cell research.

The regulation of human embryonic stem cell research is subject to subsidiarity in Europe, and different practices exist in the Member States in this regard. In some Member States, for example, it is permitted to produce human embryos for research purposes, whereas in other Member States this is explicitly prohibited.

Under the compromise reached between the Council and the European Parliament in September 2002 concerning the five specific programmes within the FP, it was agreed that until the end of 2003 the Commission should not finance any research programmes which included embryonic stem cell research.

1. How many expressions of interest have been submitted to the Commission under the thematic priority ""Life sciences, genomics and biotechnology"" which involve embryonic stem cell research?

2. In which Member States are the scientific institutes and/or businesses based which submitted these expressions of interest?",/sides/getAllAnswers.do?reference=E-2003-1494&language=EN,E-1494/03,NA,commission
Slaughter of wolves in Sweden,WRITTEN QUESTION E-0355/10by Cristiana Muscardini (PPE)to the Commission,https://www.europarl.europa.eu/doceo/document/E-7-2010-0355_EN.html,21-01-2010,E-0355/2010,2009-2014,2010,81,italy,Group of the European People's Party (Christian Democrats),2009-2014_2010_italy_group-of-the-european-people-s-party--christian-democrats-_81.html,826,E-0355_2010,"
In recent years the leading European industrialised nations have made progress in terms of protecting, respecting, and preserving animal rights by adopting Community legislation to regulate the hunting and conservation of protected species such as the wolf.
Sweden has passed an Act of Parliament allowing wolves to be legally hunted until 15 February.
Conferring legitimacy in this way could encourage poaching, with the risk that entire populations of endangered species might be drastically reduced.
1. Is the Commission aware of the above law?
2. What steps has it taken in response to the Swedish action, which is objectively contrary to Community regulations?",/doceo/document/E-7-2010-0355-ASW_EN.html,E-0355/10,NA,commission
Secretary General of the European Schools,"WRITTEN QUESTION  by Umberto Guidoni (GUE/NGL), Herbert Bösch (PSE), Jan Mulder (ALDE) and Bart Staes (Verts/ALE) to the Commission",http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2005-4921+0+DOC+XML+V0//EN&language=EN,15-12-2005,E-4921/2005,2004-2009,2005,1,belgium,Group of the Greens/European Free Alliance,2004-2009_2005_belgium_group-of-the-greens-european-free-alliance_1.html,97,E-4921_2005,"

Can the Commission confirm that it has requested an audit of the office of the Secretary General of the European Schools?

If so, is it correct that the Secretary General of the European Schools did not give permission for such an audit? 

If this was the case, did the Commission receive any explanation about the refusal of the Secretary–General and if so, what justification did the Secretary General provide to the Commission?

What measures does the Commission envisage in order to make sure that such an audit will be allowed?",/sides/getAllAnswers.do?reference=E-2005-4921&language=EN,E-4921/05,NA,commission
The position and measures taken by the Commission concerning the British fur ban,"WRITTEN QUESTION  by Piia-Noora Kauppi (PPE-DE), Ari Vatanen (PPE-DE),Ilkka Suominen (PPE-DE), Karl von Wogau (PPE-DE), Roger Helmer (PPE-DE),Malcolm Harbour (PPE-DE), Struan Stevenson (PPE-DE), Den Dover (PPE-DE),Astrid Lulling (PPE-DE), John McCartin (PPE-DE), Dana Scallon (PPE-DE),Marjo Matikainen-Kallström (PPE-DE), Christian Rovsing (PPE-DE),James Provan (PPE-DE), James Elles (PPE-DE), Charlotte Cederschiöld (PPE-DE),Karla Peijs (PPE-DE), Elly Plooij-van Gorsel (ELDR), Bertel Haarder (ELDR),Charles Tannock (PPE-DE), Paul Rübig (PPE-DE), John Purvis (PPE-DE),Markus Ferber (PPE-DE), Christian von Boetticher (PPE-DE),Thierry Cornillet (PPE-DE), Robert Goodwill (PPE-DE), Astrid Thors (ELDR),Giles Chichester (PPE-DE), Konrad Schwaiger (PPE-DE), Bashir Khanbhai (PPE-DE),Robert Sturdy (PPE-DE), Earl of Stockton (PPE-DE), Mikko Pesälä (ELDR),Samuli Pohjamo (ELDR), Jonathan Evans (PPE-DE), Jacqueline Foster (PPE-DE),Carmen Fraga Estévez (PPE-DE), Jan Mulder (ELDR),Encarnación Redondo Jiménez (PPE-DE), Francesco Fiori (PPE-DE),Arlindo Cunha (PPE-DE), Hedwig Keppelhoff-Wiechert (PPE-DE),Elisabeth Jeggle (PPE-DE), Joseph Daul (PPE-DE) andReino Paasilinna (PSE) to the Commission",http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2000-1512+0+DOC+XML+V0//EN&language=EN,12-05-2000,E-1512/2000,1999-2004,2000,2,finland,"Group of the European Liberal, Democrat and Reform Party",1999-2004_2000_finland_group-of-the-european-liberal--democrat-and-reform-party_2.html,15,E-1512_2000,"
Member States had until 13 March to react to the draft UK ban on fur-farming. Five Member States (Italy, France, Finland, Spain and Denmark) voiced very serious concerns about the measure, and France submitted a detailed opinion opposing its adoption. As the Commission is aware, this proposal has no scientific basis (nor does the UK claim that it has), and the justification put forward for it by the UK authorities is public morality.
As the Commission is aware, fur-farming is a well regulated sector of agriculture governed by national and EU laws as well as by a Council of Europe Recommendation on fur animals which was adopted in June 1999 with the support of all EU Member States and the Commission. The EU is the largest producer of farmed fur, and the sector provides thousands of jobs, both directly and indirectly.
In view of this situation, does not the Commission consider it illogical and incorrect for a Member State to ignore EU laws governing a legitimate agricultural activity and ban it without full and proper justification? Is not the Commission concerned about the precedent that would be set if a ban based on unsubstantiated public morality arguments were accepted, and is it not worried that the same basis might be used to ban the keeping of other farmed animals or to introduce measures on the transport of animals that conflict with EU directives in this field?
Finally, in the light of the above, does not the Commission consider that it should take a position against the draft UK ban as a matter of urgency and join France in issuing a detailed opinion?",/sides/getAllAnswers.do?reference=E-2000-1512&language=EN,E-1512/00,NA,commission
no questions,no questions,no questions,no questions,no questions,1994-1999,1998,1,spain,Forza Europa Group,1994-1999_1998_spain_forza-europa-group_1.html,0,no questions,NA,NA,NA,NA,NA
Human rights in Vietnam,Question for written answer E-004449/12by Mara Bizzotto (EFD)to the Commission,https://www.europarl.europa.eu/doceo/document/E-7-2012-004449_EN.html,27-04-2012,E-004449/2012,2009-2014,2012,62,italy,Europe of freedom and democracy Group,2009-2014_2012_italy_europe-of-freedom-and-democracy-group_62.html,907,E-004449_2012,"
On 12 April 2012, in Vietnam, a Christian pastor was the victim of a vicious assault by armed attackers, who not only beat the cleric but also destroyed the orphanage he had opened, and threatened workers and children. From the evidence available, it appears that local police and authorities colluded in this attack, with the police being present at the site specifically in order to keep Christians away and ensure that the attack was successfully concluded. Calls from the Bishop of Hanoi for an investigation to be opened into the matter have been ignored.
Is the Commission aware of this incident? 
Can it provide an update on the situation of Vietnam’s Christian community?
Can it say whether the issue of human rights was addressed during the 11th ASEAN-EU meeting held in Phnom Penh, in particular during the EU‑Vietnam side meetings at which a document setting out the scope of future trade negotiations was drafted?",/doceo/document/E-7-2012-004038-ASW_EN.html,E-004449/2012,NA,commission
Customs classification for mobility scooters,WRITTEN QUESTION  by Fiona Hall (ALDE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2007-3660+0+DOC+XML+V0//EN&language=EN,06-07-2007,E-3660/2007,2004-2009,2007,15,unitedkingdom,Group of the Alliance of Liberals and Democrats for Europe,2004-2009_2007_unitedkingdom_group-of-the-alliance-of-liberals-and-democrats-for-europe_15.html,377,E-3660_2007,"

An EU Customs Code Committee decision reclassified ‘carriages for disabled persons’ as ‘motor vehicles for the transport of persons’. Why was this change in classification made? The change has resulted in an increase in import duty, and these costs are being passed on to disabled consumers, with the price of mobility scooters increasing significantly. Will the Commission ask, via the EU Customs Committee, for the change in classification to be reconsidered?",/sides/getAllAnswers.do?reference=E-2007-3660&language=EN,E-3660/07,NA,commission
Promoting the use of electric cars in the EU,"Question for written answer E-008771/2015to the CommissionRule 130Gabriel Mato (PPE), Carlos Iturgaiz (PPE)",https://www.europarl.europa.eu/doceo/document/E-8-2015-008771_EN.html,30-05-2015,E-008771/2015,2014-2019,2015,28,spain,Group of the European People's Party (Christian Democrats),2014-2019_2015_spain_group-of-the-european-people-s-party--christian-democrats-_28.html,632,E-008771_2015,"
Travelling in electric or hybrid cars reduces CO2 emissions and pollution in cities. Nevertheless, there are still some barriers to consumers purchasing these vehicles, some of them related to the scarcity of service stations where they can be recharged. 
What steps is the Commission taking to encourage the use of electric cars in the EU? 
What steps is the Commission taking to enable the installation of more recharging stations for these vehicles?",/doceo/document/E-8-2015-008771-ASW_EN.html,E-008771-15,130,commission
Establishing ways of monitoring the rights of paperless child migrants,Question for written answer E-000507/2015to the CommissionRule 130Antonio López-Istúriz White (PPE),https://www.europarl.europa.eu/doceo/document/E-8-2015-000507_EN.html,15-01-2015,E-000507/2015,2014-2019,2015,62,spain,Group of the European People's Party (Christian Democrats),2014-2019_2015_spain_group-of-the-european-people-s-party--christian-democrats-_62.html,632,E-000507_2015,"
Based on the Stockholm Programme — An open and secure Europe serving and protecting citizens (Official Journal C 115 of 4 May 2010) — DGs Home and Justice have forged ahead with legislation recognising and protecting children’s rights. The specific fields involved are human trafficking, sexual exploitation and victims' rights. 
Nevertheless it is important that the EU satisfies itself that Member States are actually fulfilling their legal and policy commitments deriving from the work of the DGs and that they all, without exception, uphold the rights and protection of all children within their jurisdictions.
With regard to the rights of undocumented child migrants, and within the frameworks of protection set up in points 2(3)(2) and 2(3)(3) of the Stockholm Programme, has the Commission arranged to channel efforts and resources into establishing ways of monitoring respect for such rights at Member State level?
Does it also plan to review the proper implementation of the relevant public policies? Is it considering punitive action when infringements occur?",/doceo/document/E-8-2015-000507-ASW_EN.html,E-000507-15,130,commission
Transfer of Macao to Chinese administration - death penalty,WRITTEN QUESTION  by José Barros Moura(PSE) to the Council,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-1998-3295+0+DOC+XML+V0//EN&language=EN,10-11-1998,E-3295/1998,1994-1999,1998,1,portugal,Group of the Party of European Socialists,1994-1999_1998_portugal_group-of-the-party-of-european-socialists_1.html,72,E-3295_1998,"
The recently renewed EU-Macao agreement contains a commitment for the parties to respect human rights.
In recent statements, the Member of Parliament and member of the Preparatory Commission Vitor Ng has accepted the reintroduction of the death penalty in that territory following its reintegration into the sovereignty of the People's Republic of China.
Nevertheless, the territory's penal code - which recently came into force after being adopted with the assent of the Chinese side in the Joint Liaison Group and the remaining in force of which (together with all other legislation applicable at the time of the transfer of sovereignty) was the subject of a commitment given by the authorities of the People's Republic of China in the Sino-Portuguese joint declaration and in the Basic Law of the Special Administrative Region of Macao - not only makes no provision for the death penalty but expressly provides for its prohibition and abolition.
How does the Council assess the implications of the possible reintroduction of the death penalty in Macao from the point of view of the CFSP and EU trade policy, which must respect human rights?",/sides/getAllAnswers.do?reference=E-1998-3295&language=EN,E-3295/98,NA,council
Derogations under Article 9 of the Drinking Water Directive 1998-2018,Question for written answer E-002667/2018to the CommissionRule 130Rory Palmer (S&D),https://www.europarl.europa.eu/doceo/document/E-8-2018-002667_EN.html,17-05-2018,E-002667/2018,2014-2019,2018,11,unitedkingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2014-2019_2018_unitedkingdom_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_11.html,205,E-002667_2018,"
How many derogations were granted to Member States between 1998 and 2018 under Article 9 of the current Drinking Water Directive (98/83/EC) framework, and what were the reasons for each of these derogations being granted?",/doceo/document/E-8-2018-002667-ASW_EN.html,E-002667-18,130,commission
